invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-058973,Regional Municipality of York,2025-03-11,565.0,565.0,overdue,True,GoFleet Corporation
INV-058971,Sydney Airport,2025-03-11,715.0,715.0,overdue,True,GoFleet Corporation
INV-058966,Gordon Devauld Trucking,2025-03-11,76.38,76.38,overdue,True,GoFleet Corporation
INV-058959,Hiller Truck Tech Inc.,2025-03-11,33.9,33.9,overdue,True,GoFleet Corporation
INV-058919,H & R Logistics LLC,2025-03-10,20.6,20.6,overdue,True,GoFleet Corporation
INV-058909,GMH Fleet Services Inc,2025-03-10,109.63,109.63,overdue,True,GoFleet Corporation
INV-058900,EVERGLADES HARVESTING INC,2025-03-09,350.0,350.0,overdue,True,GoFleet Corporation
INV-058896,Layten gould,2025-03-09,30.9,30.9,overdue,True,GoFleet Corporation
INV-058867,Trans-Cold,2025-03-08,1056.98,1056.98,overdue,True,GoFleet Corporation
INV-058814,Frontline Hauling LLC,2025-03-06,391.0,391.0,overdue,True,GoFleet Corporation
INV-058812,Ojeda’s Transport LLC,2025-03-06,23.69,23.69,overdue,True,GoFleet Corporation
INV-058747,Damas Logistics LLC,2025-02-02,23.69,23.69,overdue,True,GoFleet Corporation
INV-058710,JRC Trucking LLC,2025-03-03,20.57,20.57,overdue,True,GoFleet Corporation
INV-058664,Miller Waste Systems,2025-03-02,6531.4,6531.4,overdue,True,GoFleet Corporation
INV-058650,Mistik Management Ltd.,2025-03-02,206.46,206.46,overdue,True,GoFleet Corporation
INV-058641,ClearPath Utility Solutions LLC,2025-03-02,1715.7,1715.7,overdue,True,GoFleet Corporation
INV-058638,Ottawa Dental Laboratory LLC,2025-03-01,560.0,560.0,overdue,True,GoFleet Corporation
INV-058637,Miller Waste Systems,2025-03-01,8928.07,8928.07,overdue,True,GoFleet Corporation
INV-058632,Oregon Department of Transportation (ODOT),2025-03-01,40.0,40.0,overdue,True,GoFleet Corporation
INV-058613,Beaver Valley Environmental LLC,2025-03-01,156.15,156.15,overdue,True,GoFleet Corporation
INV-058581,Regional Municipality of York,2025-02-28,336.85,336.85,overdue,True,GoFleet Corporation
INV-058576,Dedicated Transport Inc.,2025-02-28,27.12,27.12,overdue,True,GoFleet Corporation
INV-058574,The Electronic Recycling Association (ERA),2025-02-28,128.88,128.88,overdue,True,GoFleet Corporation
INV-058567,Mag Mile Logistic,2025-02-28,46.0,46.0,overdue,True,GoFleet Corporation
INV-058524,LC Construction,2025-02-27,337.6,337.6,overdue,True,GoFleet Corporation
INV-058520,Pilot Freight Services,2025-02-27,25.9,25.9,overdue,True,GoFleet Corporation
INV-058504,Mtr Logistics LLC,2025-02-26,30.0,30.0,overdue,True,GoFleet Corporation
INV-058475,Mamba Global Logistics LLC,2025-02-25,23.0,23.0,overdue,True,GoFleet Corporation
INV-058455,Aecon Utilities (US) Ltd.,2025-02-24,146.0,146.0,overdue,True,GoFleet Corporation
INV-058437,JAW Logistics Corp,2025-02-24,29.85,29.85,overdue,True,GoFleet Corporation
INV-058420,"AICS, a div of Aecon Construction Group Inc",2025-02-23,58.76,58.76,overdue,True,GoFleet Corporation
INV-058379,Trash Inc,2025-02-22,158.9,158.9,overdue,True,GoFleet Corporation
INV-058362,CanWing Travel LTD,2025-02-21,124.3,124.3,overdue,True,GoFleet Corporation
INV-058361,F W Transport,2025-02-21,23.69,23.69,overdue,True,GoFleet Corporation
INV-058354,Central Arizona Transport,2025-02-21,2983.91,2983.91,overdue,True,GoFleet Corporation
INV-058319,Frontline Hauling LLC,2025-02-19,23.0,23.0,overdue,True,GoFleet Corporation
INV-058318,Nevius Entreprises LLC,2025-02-19,69.0,69.0,overdue,True,GoFleet Corporation
INV-058294,VLocity Group,2025-02-19,530.45,530.45,overdue,True,GoFleet Corporation
INV-058270,Truck Transfer - Mississauga,2025-02-18,1508.66,1508.66,overdue,True,GoFleet Corporation
INV-058234,Miller Waste Systems,2025-02-16,1704.35,1704.35,overdue,True,GoFleet Corporation
INV-058210,Jl Transportation LLC,2025-02-15,11.5,11.5,overdue,True,GoFleet Corporation
INV-058209,SKO Logistics,2025-02-15,23.69,23.69,overdue,True,GoFleet Corporation
INV-058207,GoWrench,2025-02-15,45.2,45.2,overdue,True,GoFleet Corporation
INV-058169,Mill Street Brewery,2025-02-14,123.74,123.74,overdue,True,GoFleet Corporation
INV-058130,Burnbrae Farms - Mississauga (ON),2025-02-13,847.5,847.5,overdue,True,GoFleet Corporation
INV-058107,Gordon Devauld Trucking,2025-01-13,56.0,56.0,overdue,True,GoFleet Corporation
INV-058091,One Transport Inc,2025-02-12,25.99,25.99,overdue,True,GoFleet Corporation
INV-058076,Midnight Hauling,2025-02-11,36.0,36.0,overdue,True,GoFleet Corporation
INV-058074,Dedicated Boundless LLC,2025-02-11,21.0,21.0,overdue,True,GoFleet Corporation
INV-058063,BSC Technologies,2025-02-11,4874.5,4874.5,overdue,True,GoFleet Corporation
INV-058011,Sydney Airport,2025-02-08,715.0,715.0,overdue,True,GoFleet Corporation
INV-058006,Gordon Devauld Trucking,2025-02-08,76.38,76.38,overdue,True,GoFleet Corporation
