invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061042,Cumberland Landscape Group,2025-05-14,746.23,0.0,N/A,GoFleet Corporation
INV-061041,City of Mesa,2025-05-14,203.94,0.0,N/A,GoFleet Corporation
INV-061040,Multimatic Motorsport,2025-05-14,167.33,0.0,N/A,GoFleet Corporation
INV-061039,Bramalea Tire,2025-05-14,322.71,0.0,N/A,GoFleet Corporation
INV-061038,Mishi Transport Inc,2025-05-13,31.5,0.0,N/A,GoFleet Corporation
INV-061037,Walker Property Maintenance,2025-05-13,45.2,0.0,N/A,GoFleet Corporation
INV-061036,Aquatic Blue Design,2025-05-13,119.43,0.0,N/A,GoFleet Corporation
INV-061035,Mode Choc,2025-05-13,25.78,0.0,N/A,GoFleet Corporation
INV-061034,9736484 Canada Corporation,2025-05-13,54.24,0.0,N/A,GoFleet Corporation
INV-061033,Kevin Obrien,2025-05-13,24.15,0.0,N/A,GoFleet Corporation
INV-061032,Crombie Transport Limited,2025-05-13,75.6,0.0,N/A,GoFleet Corporation
INV-061031,Jeff's Auto Doors and Locksmithing Limited,2025-05-13,46.16,0.0,N/A,GoFleet Corporation
INV-061030,Solution Tel,2025-05-13,1418.27,0.0,N/A,GoFleet Corporation
INV-061029,2439942 Ontario Inc,2025-05-13,27.7,0.0,N/A,GoFleet Corporation
INV-061028,Aerial work utility,2025-05-13,888.58,0.0,N/A,GoFleet Corporation
INV-061026,DFX Technical Services,2025-05-13,56.5,0.0,N/A,GoFleet Corporation
INV-061024,SmartONE Solutions Inc.,2025-05-13,24.58,0.0,N/A,GoFleet Corporation
INV-061021,ASTRA M GROUP LTD,2025-05-13,205.41,0.0,N/A,GoFleet Corporation
INV-061020,FleetServ,2025-05-13,95.79,0.0,N/A,GoFleet Corporation
INV-061017,RG Sutton Inspections,2025-05-13,108.48,0.0,N/A,GoFleet Corporation
INV-061016,Cleaners on the Move,2025-05-13,126.21,0.0,N/A,GoFleet Corporation
INV-061015,Omni freightlines inc.,2025-05-12,33.84,0.0,N/A,GoFleet Corporation
INV-061014,AC Transport,2025-05-12,1506.29,0.0,N/A,GoFleet Corporation
INV-061013,Roa Transport inc. (USD),2025-05-12,102.79,0.0,N/A,GoFleet Corporation
INV-061012,Impact Audio Visual,2025-05-12,112.0,0.0,N/A,GoFleet Corporation
INV-061011,KING AUTOMOTIVE GROUP INC,2025-05-12,23.69,0.0,N/A,GoFleet Corporation
INV-061010,Jennifer Hubbard LLC,2025-05-12,20.6,0.0,N/A,GoFleet Corporation
INV-061009,J and J Trucking,2025-05-12,23.69,0.0,N/A,GoFleet Corporation
INV-061008,Innovative High Performance Coatings,2025-04-12,77.25,0.0,N/A,GoFleet Corporation
INV-061007,KC Fabrication,2025-04-12,27.7,0.0,N/A,GoFleet Corporation
INV-061006,One World Furniture Ltd,2025-05-12,27.12,0.0,N/A,GoFleet Corporation
INV-061004,Big Five Limited Company,2025-05-12,23.69,0.0,N/A,GoFleet Corporation
INV-061003,Mr. Fat Towing & Transport LTD.,2025-05-12,25.99,0.0,N/A,GoFleet Corporation
INV-061001,Clear Water,2025-05-12,203.1,0.0,N/A,GoFleet Corporation
INV-061000,FMD Logistics Inc.,2025-05-12,144.25,0.0,N/A,GoFleet Corporation
INV-060999,A.J. Stone Company,2025-05-12,322.55,0.0,N/A,GoFleet Corporation
INV-060995,LaneSafe Traffic Control-,2025-05-12,2641.8,0.0,N/A,GoFleet Corporation
INV-060986,Myers Well Service,2025-05-11,293.0,0.0,N/A,GoFleet Corporation
INV-060985,JASKIRAT SINGH,2025-04-11,211.88,0.0,N/A,GoFleet Corporation
INV-060983,Clp Transport & Logistics LLC,2025-05-11,30.9,0.0,N/A,GoFleet Corporation
INV-060981,K&K Repair Service,2025-05-11,605.64,0.0,N/A,GoFleet Corporation
INV-060980,K&S Logging Ltd,2025-05-11,213.02,0.0,N/A,GoFleet Corporation
INV-060979,Ferme Cantin & Laroche inc.,2025-05-11,28.17,0.0,N/A,GoFleet Corporation
