invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010443,Quixote Studios LLC,2025-02-07,4172.0,0.0,paid,N/A,Zenduit Corporation
INV-010442,Genesis Dispatch,2025-03-09,404.55,0.0,paid,N/A,Zenduit Corporation
INV-010441,RMA Testing Company Zenduit,2025-03-09,979.34,0.0,paid,N/A,Zenduit Corporation
INV-010440,Badger Fleet Solutions,2025-03-09,304.0,0.0,paid,N/A,Zenduit Corporation
INV-010439,Hawkeye Electronic Security,2025-03-09,475.0,0.0,paid,N/A,Zenduit Corporation
INV-010438,Smart MUBE,2025-02-06,15.0,15.0,draft,N/A,Zenduit Corporation
INV-010437,Precise Fleet Tracking Solutions,2025-03-08,125.0,0.0,paid,N/A,Zenduit Corporation
INV-010436,"Georgia Pack & Load Moving and Storage, Inc.",2025-02-06,244.0,0.0,paid,N/A,Zenduit Corporation
INV-010435,Cal Freight,2025-03-08,30.0,0.0,paid,N/A,Zenduit Corporation
INV-010434,Dynasty Communications,2025-03-08,18.0,0.0,paid,N/A,Zenduit Corporation
INV-010433,Velocity Rail Solution,2025-03-07,200.0,0.0,paid,N/A,Zenduit Corporation
INV-010432,Traxxis GPS Solutions,2025-03-07,660.0,0.0,paid,N/A,Zenduit Corporation
INV-010431,Line Drive Trucking (T-Mobile Customer),2025-03-07,2313.0,0.0,paid,N/A,Zenduit Corporation
INV-010430,Traxxis GPS Solutions,2025-03-07,125.0,0.0,paid,N/A,Zenduit Corporation
INV-010429,GPS to GO Ltd.,2025-03-07,0.0,0.0,draft,N/A,Zenduit Corporation
INV-010428,Traxxis GPS Solutions,2025-03-07,2405.0,0.0,paid,N/A,Zenduit Corporation
INV-010427,Velocity Rail Solution,2025-03-07,935.0,0.0,paid,N/A,Zenduit Corporation
INV-010426,Biomedical Waste Disposal (T-Mobile Client),2025-03-07,30.0,0.0,paid,N/A,Zenduit Corporation
INV-010425,Traxxis GPS Solutions,2025-03-07,750.0,0.0,paid,N/A,Zenduit Corporation
INV-010424,Bital Services Inc,2025-03-07,273.99,0.0,paid,N/A,Zenduit Corporation
INV-010423,Lee Fish USA (T-Mobile Client),2025-03-07,83.93,0.0,paid,N/A,Zenduit Corporation
INV-010422,Arjan Trans Inc (T-Mobile Client),2025-03-07,78.0,0.0,paid,N/A,Zenduit Corporation
INV-010421,GLEZ Trucking (T-Mobile Customer),2025-03-07,80.0,0.0,paid,N/A,Zenduit Corporation
INV-010420,Dynasty Communications,2025-03-07,78.0,0.0,paid,N/A,Zenduit Corporation
INV-010419,Dynasty Communications,2025-03-07,180.5,0.0,paid,N/A,Zenduit Corporation
INV-010418,GISCAD Limited,2025-03-07,3462.86,0.0,paid,N/A,Zenduit Corporation
INV-010417,Traxxis GPS Solutions,2025-03-06,30469.0,0.0,paid,N/A,Zenduit Corporation
INV-010416,Traxxis GPS Solutions,2025-03-06,34695.0,0.0,paid,N/A,Zenduit Corporation
INV-010415,"TrackCam, LLC",2025-03-06,228.0,0.0,paid,N/A,Zenduit Corporation
INV-010414,"TrackCam, LLC",2025-03-06,2158.55,0.0,paid,N/A,Zenduit Corporation
INV-010413,"TrackCam, LLC",2025-03-06,3307.0,0.0,paid,N/A,Zenduit Corporation
INV-010412,"TrackCam, LLC",2025-03-06,2763.0,0.0,paid,N/A,Zenduit Corporation
INV-010411,"TrackCam, LLC",2025-03-06,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010410,"TrackCam, LLC",2025-03-21,20050.0,0.0,paid,N/A,Zenduit Corporation
INV-010409,"TrackCam, LLC",2025-03-06,28875.0,0.0,paid,N/A,Zenduit Corporation
INV-010408,"TrackCam, LLC",2025-03-06,55615.0,0.0,paid,N/A,Zenduit Corporation
INV-010407,"TrackCam, LLC",2025-03-06,61590.0,0.0,paid,N/A,Zenduit Corporation
INV-010406,LMD Integrated Logistics (USD),2025-03-06,444.0,0.0,paid,N/A,Zenduit Corporation
INV-010405,The Standard Design Group (T-Mobile Client),2025-03-06,96.0,0.0,paid,N/A,Zenduit Corporation
INV-010404,Outdoor Inc (T-Mobile Client),2025-03-06,200.0,0.0,paid,N/A,Zenduit Corporation
INV-010403,"Advantage Fleet, LLC.",2025-03-06,90.0,0.0,paid,N/A,Zenduit Corporation
INV-010402,SAC Wireless,2025-03-06,600.0,0.0,paid,N/A,Zenduit Corporation
INV-010401,"TrackCam, LLC",2025-03-05,365.0,365.0,overdue,N/A,Zenduit Corporation
INV-010400,Traxxis GPS Solutions,2025-03-05,265.0,0.0,paid,N/A,Zenduit Corporation
INV-010399,VLC,2025-03-05,4225.0,0.0,paid,N/A,Zenduit Corporation
INV-010398,JLRG Consulting (Tel-Sol),2025-03-05,11.5,0.0,paid,N/A,Zenduit Corporation
INV-010397,ENS Transport (T-Mobile Client),2025-03-05,72.0,0.0,paid,N/A,Zenduit Corporation
INV-010396,GA Department of Driver Services,2025-03-05,3738.0,0.0,paid,N/A,Zenduit Corporation
INV-010395,Highland Wireless Services,2025-03-03,145.0,0.0,paid,N/A,Zenduit Corporation
INV-010394,"Geotab, Inc USD",2025-03-03,1356.0,1356.0,overdue,N/A,Zenduit Corporation
